value,label,count
47aslhs.net,website,1
AMSbronx.org,website,1
AOFEHS.org,website,1
BSSJBrooklyn.com,website,1
BronxEnvision.org,website,1
BronxInternationalHS.com,website,1
BronxleadershipAcademy2.org,website,1
Brooklyncollegiate.net,website,1
CLANYC.org,website,1
EdisonCTE.org,website,1
Hillcrestweb.com,website,1
K497.org,website,1
KECSS.info,website,1
LehmanHS.com,website,1
MadisonHS.org,website,1
Marblehillschool.org,website,1
MatherHSNYC.org,website,1
MillenniumArtAcademy.wix.com/millennium,website,1
MottHallV.org,website,1
NewUtrechthighschoolnyc.com,website,1
RachelCarsonhs.org,website,1
RockawayParkHS.com,website,1
Teachersprep.org,website,1
UniversityHeightsHighSchool.org,website,1
WHSAD.org,website,1
academyofamericanstudies.com,website,1
actvf.org,website,1
aelnyc.org,website,1
aesmithhs.org,website,1
afsenyc.org,website,1
afyw.org,website,1
aohterasmus.org,website,1
aoiths.org,website,1
aprandolph.com,website,1
artanddesignhs.org,website,1
astorcollegiate.com,website,1
aupenyc.org,website,1
automotivehs.com,website,1
aviationhs.net,website,1
bard.edu/earlycollege,website,2
basehighschool.org,website,1
baysidehighschool.org,website,1
bcamhs.org,website,1
bcchsnyc.net,website,1
bccprep.com,website,1
bcs448.org,website,1
beaconschool.org,website,1
bedfordacademyhs.org,website,1
belmontprephs.org,website,1
betahs.com,website,1
bhsva418.com,website,1
bhswca.com,website,1
bilanyc.net,website,1
bkagf.org,website,1
bklawtech.com,website,1
bkmusicntheatre.com,website,1
boysandgirlshs.org,website,1
bronxbridges.org,website,1
bronxcompass.org,website,1
bronxdalehs.org,website,1
bronxlabschool.org,website,1
bronxlatin.com,website,1
bronxlawhs.org,website,1
bronxleadershipacademy.org,website,1
bronxletters.org,website,1
bronxlgj.org,website,1
bronxriverhighschool.org,website,1
bronxsoftware.org,website,1
brooklynartshs.nyc,website,1
brooklyncaas.com,website,1
brooklyncollegeacademy.com,website,1
brooklynfrontiers.org,website,1
brooklynlabschool.org,website,1
brooklynlatin.org,website,1
brooklynprephs.org,website,1
bsge.org,website,1
bsmartnow.com,website,1
btechnyc.org,website,1
bths.edu,website,1
bushwickleaders.org,website,1
bxchs.org,website,1
bxscience.edu,website,1
bxtheatre.org,website,1
bxtrumanhighschool.com,website,1
cardozohigh.com,website,1
ccbxhsm.org,website,1
centralparkeasths.org,website,1
chelseahs.org,website,1
citypolyhs.org,website,1
clarabartonhighschool.org,website,1
cobblehillhighschool.org,website,1
columbiasecondary.org,website,1
crotonainternationalhs.org,website,1
csihighschool.org,website,1
cssjbronx.org,website,1
curtishs.org,website,1
cvsr.info,website,1
digitaltechhs.org,website,1
dwchs.net,website,1
dyprep.org,website,1
eaglebronx.org,website,1
eagleharlem.org,website,1
eastbronxacademy.org,website,1
ebtbrooklyn.com,website,1
ecoandfin.org,website,1
elpuente.us,website,1
energytechschool.org,website,1
envirostudies.org,website,1
epicschoolsnyc.org,website,2
erhsnyc.org,website,1
ermurrowhs.org,website,1
essexstreetacademy.org,website,1
ew-sa.org,website,1
ewsis.org,website,1
excelsiorprephs.com,website,1
facinghistoryschool.org,website,1
fashionhighschool.net,website,1
fda1.org,website,1
fda2.org,website,1
fdavi.org,website,1
fdrhs.org,website,1
fihsnyc.org,website,1
flhfhs.org,website,1
flushinghighschool.org,website,1
fmhsnyc.org,website,1
foodfinancehs.org,website,1
fordhamhsforthearts.com,website,1
foresthillshs.org,website,1
francislewishs.org,website,1
franksinatraschoolofthearts.org,website,1
fthhs.org,website,1
gaynormccownels.org,website,1
gchs.nyc,website,1
generationschools.org,website,1
goddardhs308.org,website,1
gothamacademy.org,website,1
gradyhs.com,website,1
gramercyhs.org,website,1
groverclevelandhs.com,website,1
gwc.connectwithkids.com,website,1
harvestcollegiate.org,website,1
herohigh.net,website,1
highschoolforpublicservice.com,website,1
hillsidearts.org,website,1
hopschool.com,website,1
hostoslincoln.org,website,1
hphsnyc.org,website,1
hs-gc.org,website,1
hsartstech.org,website,1
hsas-lehman.org,website,1
hsenergytech.org,website,1
hsflad.org,website,1
hsforctea.org,website,1
hsforteaching.org,website,1
hshm.info,website,1
hsmcnyc.org,website,1
hsmp.org,website,1
